NumeroChronique; DateDefaillance; TypeDefaillance; NombreAPUtouchees; Cause
1; 28/6/2032; DCC NL;2; FH
1; 23/5/2035; Ind;1; HW
1; 5/7/2035; Ind;1; HW
1; 1/8/2035; Ind;1; HW
1; 15/3/2036; Ind;1; HW
1; 2/4/2037; DCC NL;1; FH
1; 16/10/2037; Ind;1; HW
1; 8/3/2039; Ind;1; HW
1; 24/10/2039; Ind;1; HW
1; 11/11/2039; Ind;1; HW
2; 27/2/2024; DCC NL;1; HW
2; 10/9/2027; DCC L;5; HW
2; 23/6/2034; Ind;1; HW
2; 14/5/2035; DCC L;8; SW
2; 2/6/2036; Ind;1; HW
2; 2/2/2037; Ind;1; HW
2; 16/7/2037; Ind;1; HW
2; 18/9/2037; Ind;1; HW
2; 23/9/2037; Ind;1; HW
2; 29/4/2038; Ind;1; HW
2; 25/11/2038; Ind;1; HW
2; 27/3/2039; Ind;1; HW
2; 21/11/2039; Ind;1; HW
2; 11/12/2039; Ind;1; HW
2; 20/6/2040; DCC NL;4; FH
3; 24/1/2031; Ind;1; HW
3; 17/11/2032; Ind;1; HW
3; 9/10/2034; Ind;1; HW
3; 5/2/2035; Ind;1; HW
3; 18/7/2035; Ind;1; HW
3; 18/3/2036; Ind;1; HW
3; 5/6/2036; Ind;1; HW
3; 2/2/2038; Ind;1; HW
3; 16/12/2038; Ind;1; HW
3; 5/3/2039; Ind;1; HW
3; 19/7/2039; Ind;1; HW
3; 10/5/2040; Ind;1; HW
3; 27/5/2040; Ind;1; HW
3; 16/7/2040; Ind;1; HW
3; 27/11/2040; Ind;1; HW
4; 26/3/2019; DCC NL;2; FH
4; 27/10/2019; DCC NL;1; FH
4; 21/9/2022; DCC NL;1; FH
4; 3/5/2034; Ind;1; HW
4; 4/6/2035; Ind;1; HW
4; 13/4/2036; DCC NL;4; FH
4; 4/8/2036; Ind;1; HW
4; 1/2/2037; Ind;1; HW
4; 16/9/2037; Ind;1; HW
4; 12/8/2038; Ind;1; HW
4; 1/6/2039; Ind;1; HW
4; 10/9/2039; Ind;1; HW
4; 6/11/2040; Ind;1; HW
5; 10/4/2016; DCC L;5; FH
5; 4/8/2032; Ind;1; HW
5; 29/10/2034; Ind;1; HW
5; 8/10/2035; Ind;1; HW
5; 25/3/2036; Ind;1; HW
5; 24/2/2037; Ind;1; HW
5; 27/2/2037; Ind;1; HW
5; 8/2/2038; Ind;1; HW
5; 29/3/2038; Ind;1; HW
5; 17/7/2038; Ind;1; HW
5; 30/11/2038; DCC NL;1; FH
5; 20/7/2039; Ind;1; HW
5; 7/11/2039; Ind;1; HW
5; 16/3/2040; Ind;1; HW
5; 10/12/2040; Ind;1; HW
6; 6/12/2022; DCC NL;4; FH
6; 8/7/2023; DCC L;5; FH
6; 15/2/2035; Ind;1; HW
6; 2/7/2037; Ind;1; HW
6; 8/8/2037; Ind;1; HW
6; 23/6/2038; Ind;1; HW
6; 26/12/2038; Ind;1; HW
6; 20/11/2039; Ind;1; HW
6; 13/4/2040; Ind;1; HW
6; 10/6/2040; Ind;1; HW
6; 30/10/2040; Ind;1; HW
7; 9/4/2018; DCC NL;4; FH
7; 30/8/2024; DCC NL;4; HW
7; 11/8/2032; Ind;1; HW
7; 3/10/2035; Ind;1; HW
7; 1/4/2036; Ind;1; HW
7; 17/6/2038; Ind;1; HW
7; 19/4/2039; Ind;1; HW
7; 29/5/2039; Ind;1; HW
7; 14/1/2040; Ind;1; HW
7; 11/4/2040; Ind;1; HW
7; 30/6/2040; Ind;1; HW
7; 24/7/2040; Ind;1; HW
7; 10/10/2040; Ind;1; HW
8; 29/9/2016; DCC L;5; HW
8; 30/5/2024; DCC NL;5; FH
8; 6/1/2032; Ind;1; HW
8; 2/10/2033; Ind;1; HW
8; 20/5/2036; Ind;1; HW
8; 15/8/2036; Ind;1; HW
8; 19/2/2038; Ind;1; HW
8; 12/6/2039; Ind;1; HW
8; 23/9/2039; Ind;1; HW
8; 29/10/2039; Ind;1; HW
8; 26/7/2040; Ind;1; HW
9; 23/9/2019; DCC L;4; FH
9; 5/6/2020; DCC NL;1; FH
9; 9/11/2033; Ind;1; HW
9; 11/6/2034; Ind;1; HW
9; 1/7/2035; Ind;1; HW
9; 9/10/2035; Ind;1; HW
9; 20/5/2036; Ind;1; HW
9; 6/2/2037; Ind;1; HW
9; 11/7/2038; Ind;1; HW
9; 21/11/2038; Ind;1; HW
9; 5/2/2039; Ind;1; HW
9; 14/6/2039; Ind;1; HW
9; 1/9/2039; Ind;1; HW
9; 15/10/2039; Ind;1; HW
9; 14/12/2039; Ind;1; HW
9; 27/12/2039; Ind;1; HW
9; 24/3/2040; Ind;1; HW
9; 11/9/2040; Ind;1; HW
10; 31/12/2016; DCC L;5; HW
10; 18/2/2034; DCC NL;2; FH
10; 27/12/2034; Ind;1; HW
10; 5/1/2035; Ind;1; HW
10; 17/10/2036; Ind;1; HW
10; 18/3/2037; Ind;1; HW
10; 1/5/2038; Ind;1; HW
10; 4/10/2038; Ind;1; HW
10; 21/10/2038; Ind;1; HW
10; 21/1/2039; Ind;1; HW
10; 7/7/2039; Ind;1; HW
10; 6/2/2040; Ind;1; HW
10; 10/2/2040; Ind;1; HW
10; 10/10/2040; Ind;1; HW
10; 25/10/2040; Ind;1; HW
11; 20/8/2031; Ind;1; HW
11; 10/8/2033; Ind;1; HW
11; 3/9/2034; Ind;1; HW
11; 11/6/2036; Ind;1; HW
11; 13/10/2036; DCC NL;3; HW
11; 4/11/2036; Ind;1; HW
11; 9/1/2038; Ind;1; HW
11; 21/2/2038; Ind;1; HW
11; 29/4/2039; Ind;1; HW
11; 23/5/2039; Ind;1; HW
11; 11/10/2039; Ind;1; HW
11; 23/10/2039; Ind;1; HW
11; 3/2/2040; Ind;1; HW
12; 6/3/2022; DCC NL;2; FH
12; 26/6/2031; Ind;1; HW
12; 13/4/2035; Ind;1; HW
12; 16/5/2037; Ind;1; HW
12; 3/12/2037; Ind;1; HW
12; 12/8/2038; Ind;1; HW
12; 8/2/2039; Ind;1; HW
12; 13/7/2039; Ind;1; HW
12; 9/9/2039; Ind;1; HW
12; 17/9/2039; Ind;1; HW
12; 9/11/2039; Ind;1; HW
12; 3/2/2040; Ind;1; HW
12; 1/4/2040; Ind;1; HW
12; 26/5/2040; Ind;1; HW
12; 28/9/2040; Ind;1; HW
13; 19/12/2031; Ind;1; HW
13; 21/12/2037; DCC NL;2; FH
13; 23/4/2038; Ind;1; HW
13; 17/6/2038; Ind;1; HW
13; 25/3/2039; Ind;1; HW
13; 8/8/2039; Ind;1; HW
13; 23/9/2039; Ind;1; HW
13; 8/10/2039; Ind;1; HW
13; 19/1/2040; Ind;1; HW
13; 28/6/2040; DCC NL;1; FH
13; 3/7/2040; Ind;1; HW
13; 7/8/2040; Ind;1; HW
13; 6/11/2040; Ind;1; HW
13; 17/11/2040; Ind;1; HW
13; 10/12/2040; Ind;1; HW
14; 27/10/2026; DCC L;4; FH
14; 3/6/2027; DCC L;5; FH
14; 26/3/2028; DCC NL;1; FH
14; 20/3/2031; DCC NL;5; HW
14; 22/6/2031; Ind;1; HW
14; 3/10/2034; Ind;1; HW
14; 7/9/2036; Ind;1; HW
14; 29/6/2037; Ind;1; HW
14; 26/11/2037; Ind;1; HW
14; 8/12/2038; Ind;1; HW
14; 16/5/2039; Ind;1; HW
14; 11/3/2040; Ind;1; HW
14; 24/12/2040; Ind;1; HW
15; 8/12/2020; DCC L;12; FH
15; 1/2/2022; DCC NL;2; FH
15; 18/8/2032; Ind;1; HW
15; 24/5/2034; Ind;1; HW
15; 28/12/2034; Ind;1; HW
15; 1/1/2036; Ind;1; HW
15; 17/9/2036; Ind;1; HW
15; 12/2/2037; Ind;1; HW
15; 19/6/2038; Ind;1; HW
15; 9/8/2038; Ind;1; HW
15; 16/12/2038; Ind;1; HW
15; 24/4/2039; Ind;1; HW
15; 13/6/2039; Ind;1; HW
15; 22/1/2040; Ind;1; HW
15; 13/5/2040; Ind;1; HW
16; 14/4/2016; DCC NL;1; FH
16; 9/6/2016; DCC NL;2; HW
16; 31/8/2023; DCC NL;3; FH
16; 18/7/2027; Ind;1; HW
16; 5/9/2030; Ind;1; HW
16; 9/3/2036; Ind;1; HW
16; 15/4/2037; Ind;1; HW
16; 18/3/2038; Ind;1; HW
16; 4/6/2038; Ind;1; HW
16; 29/7/2038; Ind;1; HW
16; 28/9/2038; Ind;1; HW
16; 21/10/2038; Ind;1; HW
16; 12/12/2038; Ind;1; HW
16; 25/6/2039; Ind;1; HW
16; 29/6/2039; Ind;1; HW
16; 9/9/2040; Ind;1; HW
16; 12/9/2040; Ind;1; HW
17; 28/3/2027; DCC NL;1; HW
17; 4/3/2031; DCC NL;1; FH
17; 8/6/2032; Ind;1; HW
17; 22/5/2033; Ind;1; HW
17; 12/1/2034; DCC NL;2; HW
17; 9/5/2035; Ind;1; HW
17; 17/4/2036; DCC NL;3; FH
17; 16/2/2037; DCC NL;3; HW
17; 22/8/2037; Ind;1; HW
17; 30/4/2038; Ind;1; HW
17; 23/12/2038; Ind;1; HW
17; 18/2/2039; Ind;1; HW
17; 19/8/2039; Ind;1; HW
17; 1/3/2040; Ind;1; HW
17; 8/4/2040; Ind;1; HW
17; 19/9/2040; Ind;1; HW
18; 3/2/2017; DCC NL;4; HW
18; 28/12/2031; DCC NL;3; HW
18; 10/2/2032; Ind;1; HW
18; 15/1/2036; Ind;1; HW
18; 8/10/2037; Ind;1; HW
18; 13/10/2037; Ind;1; HW
18; 21/3/2038; Ind;1; HW
18; 3/7/2038; Ind;1; HW
18; 31/8/2038; Ind;1; HW
18; 12/1/2039; Ind;1; HW
18; 29/11/2039; Ind;1; HW
18; 28/12/2039; Ind;1; HW
18; 27/1/2040; Ind;1; HW
18; 24/5/2040; Ind;1; HW
18; 16/8/2040; Ind;1; HW
19; 25/6/2021; DCC NL;2; FH
19; 19/10/2026; DCC L;4; FH
19; 2/4/2032; Ind;1; HW
19; 12/2/2035; Ind;1; HW
19; 2/1/2037; Ind;1; HW
19; 20/10/2037; Ind;1; HW
19; 23/10/2037; Ind;1; HW
19; 22/4/2038; Ind;1; HW
19; 19/7/2038; Ind;1; HW
19; 21/9/2038; Ind;1; HW
19; 1/11/2038; Ind;1; HW
19; 3/3/2039; DCC NL;1; FH
19; 26/6/2039; Ind;1; HW
19; 9/12/2039; Ind;1; HW
19; 14/5/2040; Ind;1; HW
20; 23/8/2019; DCC NL;2; FH
20; 29/6/2020; DCC NL;2; FH
20; 18/2/2022; DCC NL;2; HW
20; 10/11/2030; Ind;1; HW
20; 23/4/2033; Ind;1; HW
20; 7/12/2033; Ind;1; HW
20; 4/2/2035; Ind;1; HW
20; 31/3/2036; Ind;1; HW
20; 13/2/2037; Ind;1; HW
20; 31/12/2038; Ind;1; HW
20; 19/5/2039; Ind;1; HW
20; 1/7/2039; Ind;1; HW
20; 15/9/2039; Ind;1; HW
20; 18/12/2039; Ind;1; HW
20; 24/3/2040; Ind;1; HW
20; 17/4/2040; Ind;1; HW
21; 24/1/2034; Ind;1; HW
21; 20/11/2035; Ind;1; HW
21; 3/5/2036; Ind;1; HW
21; 24/6/2036; Ind;1; HW
21; 24/1/2037; Ind;1; HW
21; 2/3/2037; Ind;1; HW
21; 19/9/2037; Ind;1; HW
21; 25/1/2038; Ind;1; HW
21; 9/10/2039; Ind;1; HW
21; 9/1/2040; Ind;1; HW
22; 28/6/2032; Ind;1; HW
22; 17/8/2033; Ind;1; HW
22; 2/7/2035; Ind;1; HW
22; 26/4/2037; Ind;1; HW
22; 7/1/2038; Ind;1; HW
22; 11/2/2038; Ind;1; HW
22; 27/12/2038; Ind;1; HW
22; 9/2/2039; Ind;1; HW
22; 10/6/2039; Ind;1; HW
22; 5/12/2039; Ind;1; HW
22; 16/7/2040; Ind;1; HW
22; 8/12/2040; Ind;1; HW
23; 4/5/2016; DCC NL;2; FH
23; 26/8/2017; DCC NL;1; FH
23; 13/1/2021; DCC NL;3; FH
23; 16/8/2034; DCC NL;1; FH
23; 29/6/2035; Ind;1; HW
23; 16/12/2035; Ind;1; HW
23; 9/2/2038; Ind;1; HW
23; 28/4/2039; Ind;1; HW
23; 5/2/2040; Ind;1; HW
23; 29/3/2040; Ind;1; HW
23; 10/5/2040; Ind;1; HW
23; 3/6/2040; Ind;1; HW
23; 10/12/2040; Ind;1; HW
24; 4/10/2019; DCC NL;1; FH
24; 31/12/2027; Ind;1; HW
24; 27/11/2033; Ind;1; HW
24; 28/11/2033; Ind;1; HW
24; 27/3/2034; Ind;1; HW
24; 14/12/2034; Ind;1; HW
24; 22/6/2036; Ind;1; HW
24; 17/9/2036; Ind;1; HW
24; 30/3/2037; Ind;1; HW
24; 24/8/2038; Ind;1; HW
24; 21/11/2038; Ind;1; HW
24; 3/1/2039; Ind;1; HW
24; 15/10/2039; Ind;1; HW
24; 21/12/2039; Ind;1; HW
24; 28/9/2040; Ind;1; HW
25; 18/8/2024; DCC L;4; FH
25; 9/1/2032; DCC NL;4; FH
25; 10/7/2035; Ind;1; HW
25; 18/10/2036; Ind;1; HW
25; 9/2/2037; Ind;1; HW
25; 29/1/2038; Ind;1; HW
25; 23/3/2038; Ind;1; HW
25; 26/3/2038; Ind;1; HW
25; 2/4/2038; Ind;1; HW
25; 26/7/2038; Ind;1; HW
25; 24/3/2040; Ind;1; HW
25; 16/5/2040; Ind;1; HW
26; 15/8/2026; Ind;1; HW
26; 20/10/2028; DCC NL;1; FH
26; 26/6/2029; DCC NL;1; FH
26; 15/4/2036; Ind;1; HW
26; 26/3/2037; Ind;1; HW
26; 26/4/2038; Ind;1; HW
26; 10/5/2038; Ind;1; HW
26; 18/9/2038; DCC NL;2; FH
26; 15/4/2039; Ind;1; HW
26; 27/5/2039; Ind;1; HW
26; 25/6/2039; Ind;1; HW
26; 11/10/2039; Ind;1; HW
26; 24/3/2040; Ind;1; HW
26; 25/3/2040; Ind;1; HW
26; 19/4/2040; Ind;1; HW
26; 10/8/2040; Ind;1; HW
27; 8/6/2022; DCC L;5; FH
27; 18/2/2026; DCC L;5; FH
27; 24/3/2030; DCC L;8; SW
27; 26/6/2030; DCC L;8; SW
27; 8/10/2031; Ind;1; HW
27; 1/1/2033; DCC L;4; FH
27; 8/5/2034; DCC L;5; HW
27; 18/3/2036; DCC NL;3; FH
27; 10/9/2036; Ind;1; HW
27; 23/9/2037; Ind;1; HW
27; 31/10/2037; Ind;1; HW
27; 10/6/2038; Ind;1; HW
27; 9/12/2038; Ind;1; HW
27; 17/6/2039; Ind;1; HW
28; 2/2/2017; DCC NL;1; FH
28; 23/3/2017; DCC NL;2; FH
28; 25/1/2018; DCC NL;2; HW
28; 27/3/2032; Ind;1; HW
28; 7/7/2035; Ind;1; HW
28; 28/9/2036; Ind;1; HW
28; 4/11/2036; Ind;1; HW
28; 27/2/2037; Ind;1; HW
28; 14/12/2038; Ind;1; HW
28; 11/6/2039; Ind;1; HW
28; 19/9/2039; Ind;1; HW
28; 18/11/2039; Ind;1; HW
28; 17/6/2040; DCC NL;2; FH
28; 23/6/2040; Ind;1; HW
28; 25/8/2040; Ind;1; HW
29; 4/4/2032; Ind;1; HW
29; 28/6/2034; Ind;1; HW
29; 27/8/2034; Ind;1; HW
29; 11/11/2034; Ind;1; HW
29; 4/5/2038; Ind;1; HW
29; 7/5/2038; Ind;1; HW
29; 23/6/2038; Ind;1; HW
29; 27/7/2038; Ind;1; HW
29; 5/10/2038; Ind;1; HW
29; 26/10/2040; Ind;1; HW
30; 27/6/2023; DCC NL;1; FH
30; 28/11/2029; DCC NL;1; FH
30; 22/2/2030; Ind;1; HW
30; 29/6/2030; Ind;1; HW
30; 24/10/2033; Ind;1; HW
30; 6/7/2034; Ind;1; HW
30; 25/11/2034; Ind;1; HW
30; 7/4/2037; Ind;1; HW
30; 11/5/2037; Ind;1; HW
30; 20/6/2038; Ind;1; HW
30; 18/7/2038; Ind;1; HW
30; 6/10/2039; Ind;1; HW
30; 26/5/2040; Ind;1; HW
30; 8/9/2040; Ind;1; HW
30; 11/10/2040; Ind;1; HW
31; 8/5/2017; DCC NL;4; HW
31; 8/3/2018; DCC NL;1; FH
31; 18/3/2033; Ind;1; HW
31; 14/2/2034; Ind;1; HW
31; 29/9/2034; Ind;1; HW
31; 6/11/2034; DCC L;4; FH
31; 24/2/2037; Ind;1; HW
31; 4/5/2037; Ind;1; HW
31; 29/11/2038; Ind;1; HW
31; 20/1/2039; Ind;1; HW
31; 30/1/2039; Ind;1; HW
31; 22/6/2039; Ind;1; HW
31; 16/8/2039; Ind;1; HW
31; 7/1/2040; Ind;1; HW
31; 26/1/2040; Ind;1; HW
31; 21/11/2040; Ind;1; HW
32; 13/8/2022; DCC L;4; FH
32; 27/11/2035; Ind;1; HW
32; 27/5/2036; Ind;1; HW
32; 15/9/2036; Ind;1; HW
32; 10/11/2036; Ind;1; HW
32; 7/11/2037; Ind;1; HW
32; 20/3/2039; Ind;1; HW
32; 6/6/2039; Ind;1; HW
32; 6/9/2039; Ind;1; HW
32; 6/11/2039; Ind;1; HW
32; 20/12/2039; Ind;1; HW
32; 18/10/2040; Ind;1; HW
32; 28/10/2040; Ind;1; HW
33; 26/7/2018; DCC NL;3; FH
33; 9/8/2021; DCC NL;3; HW
33; 12/5/2027; Ind;1; HW
33; 18/7/2033; Ind;1; HW
33; 4/8/2036; Ind;1; HW
33; 24/11/2036; Ind;1; HW
33; 2/7/2037; Ind;1; HW
33; 6/12/2037; Ind;1; HW
33; 25/7/2038; Ind;1; HW
33; 1/8/2038; Ind;1; HW
33; 21/10/2039; Ind;1; HW
33; 5/2/2040; Ind;1; HW
34; 10/7/2024; DCC L;12; SW
34; 27/5/2026; DCC NL;1; FH
34; 29/7/2032; Ind;1; HW
34; 11/10/2034; Ind;1; HW
34; 8/1/2035; Ind;1; HW
34; 30/1/2035; DCC L;5; FH
34; 12/10/2035; Ind;1; HW
34; 15/3/2037; DCC NL;1; FH
34; 27/3/2037; Ind;1; HW
34; 3/6/2037; Ind;1; HW
34; 30/7/2037; Ind;1; HW
34; 18/10/2037; Ind;1; HW
34; 11/11/2037; DCC L;8; SW
34; 21/10/2038; DCC NL;3; FH
34; 20/6/2039; Ind;1; HW
34; 16/8/2039; Ind;1; HW
34; 21/3/2040; Ind;1; HW
34; 21/8/2040; Ind;1; HW
34; 27/8/2040; Ind;1; HW
35; 12/5/2018; DCC NL;2; FH
35; 16/8/2027; DCC NL;1; FH
35; 8/2/2032; Ind;1; HW
35; 18/3/2033; Ind;1; HW
35; 31/7/2033; DCC L;5; FH
35; 14/3/2035; Ind;1; HW
35; 5/11/2035; Ind;1; HW
35; 1/1/2037; Ind;1; HW
35; 12/7/2037; Ind;1; HW
35; 23/11/2037; Ind;1; HW
35; 6/6/2038; DCC NL;1; FH
35; 25/2/2039; Ind;1; HW
35; 18/8/2039; Ind;1; HW
35; 26/11/2039; Ind;1; HW
35; 24/11/2040; Ind;1; HW
36; 27/2/2017; DCC NL;3; FH
36; 20/7/2020; DCC NL;4; FH
36; 28/1/2023; DCC L;5; HW
36; 13/10/2023; DCC NL;2; FH
36; 16/3/2035; Ind;1; HW
36; 5/3/2036; Ind;1; HW
36; 4/11/2036; Ind;1; HW
36; 17/11/2037; Ind;1; HW
36; 9/7/2038; Ind;1; HW
36; 24/5/2039; DCC NL;1; FH
36; 24/8/2039; Ind;1; HW
36; 26/5/2040; Ind;1; HW
36; 26/6/2040; Ind;1; HW
36; 15/12/2040; Ind;1; HW
37; 11/6/2020; DCC NL;1; FH
37; 2/7/2030; Ind;1; HW
37; 3/3/2032; Ind;1; HW
37; 14/10/2032; Ind;1; HW
37; 26/4/2034; Ind;1; HW
37; 1/10/2034; Ind;1; HW
37; 8/7/2035; Ind;1; HW
37; 6/3/2036; Ind;1; HW
37; 7/7/2036; Ind;1; HW
37; 3/7/2037; Ind;1; HW
37; 21/2/2038; Ind;1; HW
37; 11/8/2038; Ind;1; HW
37; 27/8/2038; DCC L;5; HW
37; 24/9/2039; Ind;1; HW
37; 1/10/2039; Ind;1; HW
37; 19/2/2040; Ind;1; HW
38; 14/6/2021; DCC NL;1; FH
38; 18/5/2027; DCC NL;1; FH
38; 13/12/2029; Ind;1; HW
38; 30/4/2034; DCC NL;3; FH
38; 28/9/2035; DCC NL;3; FH
38; 23/12/2035; Ind;1; HW
38; 25/5/2036; Ind;1; HW
38; 29/8/2036; Ind;1; HW
38; 4/1/2037; Ind;1; HW
38; 12/1/2037; Ind;1; HW
38; 17/10/2038; Ind;1; HW
38; 8/4/2039; Ind;1; HW
38; 16/5/2040; Ind;1; HW
38; 26/7/2040; Ind;1; HW
39; 29/5/2020; DCC NL;2; FH
39; 22/12/2034; Ind;1; HW
39; 1/7/2035; Ind;1; HW
39; 2/10/2035; Ind;1; HW
39; 12/3/2037; Ind;1; HW
39; 23/5/2037; Ind;1; HW
39; 11/6/2037; Ind;1; HW
39; 12/10/2037; Ind;1; HW
39; 22/3/2038; Ind;1; HW
39; 6/6/2038; Ind;1; HW
39; 14/4/2039; Ind;1; HW
39; 24/8/2039; Ind;1; HW
39; 10/11/2039; Ind;1; HW
39; 26/5/2040; Ind;1; HW
40; 12/11/2032; Ind;1; HW
40; 7/6/2033; Ind;1; HW
40; 5/7/2034; Ind;1; HW
40; 19/12/2034; Ind;1; HW
40; 6/8/2035; Ind;1; HW
40; 25/4/2037; Ind;1; HW
40; 16/5/2037; Ind;1; HW
40; 31/1/2038; Ind;1; HW
40; 30/5/2038; Ind;1; HW
40; 3/7/2038; Ind;1; HW
40; 13/8/2040; Ind;1; HW
41; 10/6/2021; DCC NL;3; FH
41; 17/4/2031; Ind;1; HW
41; 19/7/2032; Ind;1; HW
41; 11/3/2033; Ind;1; HW
41; 11/7/2035; DCC L;12; SW
41; 2/10/2035; Ind;1; HW
41; 22/2/2036; Ind;1; HW
41; 11/4/2038; Ind;1; HW
41; 21/9/2038; Ind;1; HW
41; 31/10/2038; Ind;1; HW
41; 3/11/2038; Ind;1; HW
41; 6/8/2039; Ind;1; HW
41; 28/8/2039; DCC NL;2; FH
41; 8/9/2039; Ind;1; HW
41; 23/1/2040; Ind;1; HW
41; 1/3/2040; Ind;1; HW
41; 27/4/2040; Ind;1; HW
41; 9/6/2040; Ind;1; HW
41; 10/12/2040; Ind;1; HW
42; 23/10/2032; Ind;1; HW
42; 25/8/2033; Ind;1; HW
42; 13/10/2034; Ind;1; HW
42; 22/5/2035; DCC NL;2; FH
42; 28/5/2035; Ind;1; HW
42; 3/6/2035; Ind;1; HW
42; 9/7/2037; Ind;1; HW
42; 16/2/2039; Ind;1; HW
42; 18/3/2039; Ind;1; HW
42; 29/5/2039; Ind;1; HW
42; 31/5/2039; Ind;1; HW
42; 18/8/2040; Ind;1; HW
43; 5/1/2037; Ind;1; HW
43; 4/4/2037; Ind;1; HW
43; 13/7/2037; Ind;1; HW
43; 12/10/2037; Ind;1; HW
43; 27/10/2037; Ind;1; HW
43; 1/11/2037; Ind;1; HW
43; 13/12/2038; Ind;1; HW
43; 19/8/2039; Ind;1; HW
43; 29/12/2039; Ind;1; HW
43; 11/4/2040; Ind;1; HW
43; 17/7/2040; Ind;1; HW
43; 14/8/2040; Ind;1; HW
43; 16/10/2040; Ind;1; HW
44; 27/4/2027; DCC NL;4; HW
44; 17/2/2032; Ind;1; HW
44; 16/6/2032; Ind;1; HW
44; 16/8/2034; DCC NL;3; FH
44; 21/12/2034; DCC NL;5; FH
44; 8/6/2036; Ind;1; HW
44; 18/5/2037; Ind;1; HW
44; 24/5/2038; Ind;1; HW
44; 21/9/2038; Ind;1; HW
44; 3/2/2039; Ind;1; HW
44; 30/11/2039; Ind;1; HW
44; 6/2/2040; Ind;1; HW
44; 2/5/2040; Ind;1; HW
44; 27/5/2040; Ind;1; HW
44; 3/6/2040; Ind;1; HW
44; 28/6/2040; Ind;1; HW
44; 25/12/2040; Ind;1; HW
45; 30/6/2016; DCC L;4; FH
45; 31/10/2030; Ind;1; HW
45; 8/7/2033; Ind;1; HW
45; 5/7/2036; Ind;1; HW
45; 5/8/2037; Ind;1; HW
45; 14/12/2037; Ind;1; HW
45; 15/4/2038; Ind;1; HW
45; 5/10/2038; Ind;1; HW
45; 1/12/2039; Ind;1; HW
45; 25/12/2040; Ind;1; HW
46; 11/4/2020; DCC NL;1; FH
46; 26/4/2021; DCC NL;2; FH
46; 26/1/2023; DCC NL;1; FH
46; 2/6/2026; DCC L;5; HW
46; 19/11/2029; DCC NL;2; HW
46; 19/11/2031; Ind;1; HW
46; 27/5/2034; Ind;1; HW
46; 18/7/2035; DCC NL;2; FH
46; 22/1/2036; Ind;1; HW
46; 25/11/2036; Ind;1; HW
46; 19/5/2037; Ind;1; HW
46; 24/5/2037; Ind;1; HW
46; 3/2/2039; Ind;1; HW
46; 7/6/2039; Ind;1; HW
46; 26/12/2039; Ind;1; HW
46; 1/3/2040; Ind;1; HW
46; 1/3/2040; DCC NL;1; FH
46; 21/5/2040; Ind;1; HW
46; 21/6/2040; Ind;1; HW
46; 13/8/2040; Ind;1; HW
46; 24/10/2040; Ind;1; HW
47; 3/4/2032; Ind;1; HW
47; 8/10/2033; Ind;1; HW
47; 31/12/2033; Ind;1; HW
47; 30/4/2034; Ind;1; HW
47; 28/4/2035; Ind;1; HW
47; 29/6/2036; Ind;1; HW
47; 1/5/2037; Ind;1; HW
47; 14/6/2037; Ind;1; HW
47; 31/8/2038; Ind;1; HW
47; 3/3/2039; Ind;1; HW
47; 22/12/2039; Ind;1; HW
48; 19/7/2019; DCC NL;7; HW
48; 17/9/2019; DCC L;12; SW
48; 4/6/2029; DCC NL;1; FH
48; 2/2/2030; Ind;1; HW
48; 14/8/2033; Ind;1; HW
48; 6/6/2034; Ind;1; HW
48; 15/2/2036; Ind;1; HW
48; 2/3/2036; Ind;1; HW
48; 9/11/2036; Ind;1; HW
48; 22/4/2037; Ind;1; HW
48; 20/5/2037; Ind;1; HW
48; 21/11/2037; Ind;1; HW
48; 19/10/2038; Ind;1; HW
48; 14/12/2038; Ind;1; HW
48; 29/1/2039; DCC L;12; SW
48; 10/3/2039; Ind;1; HW
48; 26/3/2039; Ind;1; HW
48; 14/12/2039; Ind;1; HW
48; 12/3/2040; Ind;1; HW
48; 27/3/2040; Ind;1; HW
48; 29/5/2040; Ind;1; HW
48; 27/11/2040; Ind;1; HW
49; 22/6/2020; DCC L;5; HW
49; 2/3/2028; DCC NL;2; FH
49; 1/7/2028; DCC L;5; FH
49; 5/8/2028; Ind;1; HW
49; 12/9/2034; DCC NL;4; HW
49; 18/1/2037; Ind;1; HW
49; 27/3/2037; Ind;1; HW
49; 27/10/2038; Ind;1; HW
49; 12/7/2039; Ind;1; HW
49; 14/2/2040; Ind;1; HW
49; 15/4/2040; Ind;1; HW
49; 24/4/2040; Ind;1; HW
49; 26/7/2040; Ind;1; HW
50; 18/12/2027; DCC NL;1; FH
50; 3/8/2029; Ind;1; HW
50; 19/11/2035; Ind;1; HW
50; 31/12/2035; Ind;1; HW
50; 4/4/2036; Ind;1; HW
50; 17/3/2037; DCC NL;4; FH
50; 30/7/2038; Ind;1; HW
50; 21/8/2038; Ind;1; HW
50; 19/4/2039; Ind;1; HW
50; 9/6/2039; Ind;1; HW
50; 13/12/2039; Ind;1; HW
50; 16/2/2040; Ind;1; HW
50; 26/7/2040; Ind;1; HW
